0,FID,ogc_fid,no_1,no_2,nama_sppg,nm_ka_sppg,kecamatan,alamat dap,sekolah,alamat,jumlah_sis,jam makan,keterangan,tanggal_op,Latitude SPPG,Longitude SPPG,field_15,geometry,No,NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Kode Wilayah,Jenis Sekolah,Kecamatan,Alamat Lengkap,Country,Coordinates,Address found,Latitude Sekolah,Longitude Sekolah,<img>
89,database_sppg.90,90,90,15.3.,SPPG Kec. Buah Batu,Theodora Shitta Chrisworodyta,Buah Batu,"Jl. Margacinta No.71, Kel. Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat",SDN 006 BUAHBATU,"Jl. Ibrahim Adjie No.45, Cijaura, Kec. Buahbatu",936,09.30 & 14.30,,24 Februari 2025,-6.955025908,107.6487181,,POINT (107.6487181 -6.955025908),6,20245122,SDN 006 BUAHBATU,Jl. H. Ibrahim Adjie No. 45,Cijaura,NEGERI,26009,SD,Buahbatu,"Jl. H. Ibrahim Adjie No. 45, Kel. Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat, Indonesia",id,"-6.951654599999999,107.6407063","Jl. Ibrahim Adjie No.45, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40287, Indonesia",-6.9516546,107.6407063,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfVXa3rl967--XK-HwPMXgRJmF7FuLwhNX61I-0Ex31vtdatHRWJb3sqzaFQ0-gkL9HsNM-9-dPlvq-qRwUQI5FzA-n7wf_J9hbYs3LXwMUYCGzsAuzklYsaeNUj2rbHP6UpVgaQy6M8A8Z6DpOHquzIGt9TpmzIjwRTGlwfcpqllZ7l0zL5UsPk49KpkgBjdvyz_WN8aL0NTJwYnVhc7dVi61Gybc3iZtOi0Ij-16D0aKTjiNrw7R538nbD1C1ejGAbMQh9U-Rf0G3eh1bPDoVBtuf4mxO3GI1eG49TYNLWlJ3O1KVZk-pJ0HjDMaNEgIXQ_4EqTQv1RkyHZMfcxOfCLoXuLzHOymBT3fgE5DH9-5tfbL3IVW1CRBL81awcFjg09WZs3CDXAVbwX1XCSOdhKNb6fAFw8L4tw0UsIbiQvTsJiltDdOGGkHgEUiaPWzz344QriHByhw7fXh5ktEjqF80jVQXzuqk5b5fVQkVv6eZJcjwYQOL6Ree5Eyr-Jta_vSvjm_LAFoYaEHJY1L0M1ooevxWgtYzRPMYWKEsAt3XUBOwjEO5vdxnJK3DNyvwHti8v&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
90,database_sppg.91,91,91,15.4.,SPPG Kec. Buah Batu,Theodora Shitta Chrisworodyta,Buah Batu,"Jl. Margacinta No.71, Kel. Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat",SDN 184 BUAHBATU,"Jl. Ibrahim Adjie No.65, Cijaura, Kec. Buahbatu",482,09.30 & 14.30,,24 Februari 2025,-6.955025908,107.6487181,,POINT (107.6487181 -6.955025908),10,20246396,SDN 184 BUAHBATU,Jl. Ibrahim Adjie No.65,Cijaura,NEGERI,26009,SD,Buahbatu,"Jl. Ibrahim Adjie No.65, Kel. Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat, Indonesia",id,"-6.950898199999999,107.6408161","Jl. Ibrahim Adjie No.65, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40287, Indonesia",-6.9508982,107.6408161,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUWJNYRq9w0-py6tEuP5iISHvmAFKBPJVR6Sb4etyyZjx6gQKc4Uv2ZhQlmAAzmVnlv7Aoyw3v662ir0bkMAPeEH4Cfl00rXV1Groi98r4VGFImLEFy2zx3IRk20A8mOzTUrSCXvshjffv-0DBp-Ih1hWfUHvJbWWw8e5rePA-HjKe_G0aKHfAl4CQNzD1sT3VhjrBKGo68dx-iWzet8UXStZ123Z_zRmFlgbFzDwJ8BZFBnpGDJYkIVRzU7usWxGPSf9HV8MsnDpuIwn2Xk0S0oVSF_LLj6iOfndc-RedBkWVPC-rSN2v2X_qiy9unJGBYlUVfSC78ywrz7txq37UtrhPuCLSjQIAmifIVsPw00SHmjrwxd4yHRcxizS5JTzTetKY5YSP9pN5wx8a9gxpJPYlFEP9hO2Ctp9-zLaZrHXTk0mzz2b32A38VYVECpG8TOQl46lpmKzjFdf8W3lH5MW8zMOdGqXAtbwK6YNKMy4pw3cMnRoAFMLa8mfIxJazDwFl9rJiEHK3ueq23gz5w8g6-Nfno5-CQiO548VX0ZrNiqnNKzSmVLLQ2gTeo7OArgd1YhkQ6kw2E8mBloEPrIP3n0A&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
91,database_sppg.92,92,92,15.5.,SPPG Kec. Buah Batu,Theodora Shitta Chrisworodyta,Buah Batu,"Jl. Margacinta No.71, Kel. Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat",SDN 246 MARGACINTA,"Jl. Marga Indah I No.19, Cijaura, Kec. Buahbatu",587,09.30 & 14.30,,24 Februari 2025,-6.955025908,107.6487181,,POINT (107.6487181 -6.955025908),13,20246410,SDN 246 MARGACINTA,Jl. Marga Indah I Margacinta,Cijaura,NEGERI,26009,SD,Buahbatu,"Jl. Marga Indah I Margacinta, Kel. Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat, Indonesia",id,"-6.955207,107.6428885","Jl. Marga Indah I, Cijaura, Kec. Buahbatu, Kota Bandung, Jawa Barat 40287, Indonesia",-6.955207,107.6428885,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXOPlJe_CnRxMNIi9l3T-TDTMngBOw8gR_wPk_2pCCqz6BhibX5fdOyO_Z23LEygzTh6ZF_dhdpioRIJf0u7sDefVdBzMV_1RkKcMF2264Ybi48VF1MW2xE-knQ78hnc-zv9hAQjG708MYGYvD9aq00Xeu_9O8LkxcPaWRe7wGtaaF215_MFHo5IiRqsQDcJ-Mriwq23C2EU8hltYL3W2aa8FVcavk-4iV8OPdLd-bUMwhhES5SDv2xUeAwrH-o73phMOkISMro7iap3LdFfwSilLzjGCRPhKSZ8A1hMKOviDU8o-qCCM8ZEbJn9XMERpCu9LYxnsTg5b7vj2sDNMXeTOw9zh_n_j39NzUqyZ2q-lGFP1fHmuLUA1PTy--KA_VrPvnBLJUrfH9ITzADA0II6R-i-SYtf0fvoxW1pb-4n2lb-AtbGLpW5h4ZH3bWsXPcJkJz9DKuA5U6k2hSnpeO_QQwRsv-R_Lfv_Sb5jDuCVcfim6QobaGvEwDyGyytkgwzaVmqsZ7au1mUxiKud252BLX-d5SywLvtHfgSlgRHs5D6_ldG62SlpwWdM59EkEDbQYKwOa7EQ&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
92,database_sppg.93,93,93,16.1.,SPPG Kec. Astana Anyar,Felisia Septiarini,Astana Anyar,Jalan Karasak Utara IV No 14 Kelurahan Karasak,SDN 039 TEGALLEGA,"Jl. Pelindung Hewan No.3, Pelindung Hewan, Kec. Astanaanyar",451,08.30 & 12.00,,24 Februari 2025,-6.946768776,107.6045912,,POINT (107.6045912 -6.946768776),9,20245095,SDN 039 TEGALLEGA,Jl. Pelindung Hewan No. 43,Pelindung Hewan,NEGERI,26005,SD,Astanaanyar,"Jl. Pelindung Hewan No. 43, Kel. Pelindung Hewan, Kec. Astanaanyar, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9402936,107.6051552","Jl. Pelindung Hewan No.43, Pelindung Hewan, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40243, Indonesia",-6.9402936,107.6051552,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfWzlSRw4wcoZSWmDKbXF6EI7Hp7apqwQhwIouVWQIGs40C8S5Wn2PEXSPHhtlD7gcvj2kwBnLDRnob_a7lBkO9ZgvJrekhsx9FS48pFf56LbcJ9iHQp-b8eFaYlZKED1LlaE-ptjOcjRIqm5R2fZmWhbu-bxLpVSAgxRGJmmXrpSQ54BgxaVZd62iy_u3a5H3DNmyvzEHgJAv1Mx-chtYunIe3eVlPkmyTNaZMSJW1NW_PuJqpNlWtHWkaxMoFocsc027KovT4smsvf4NAf0J4b1stKquoBJEtygDkPNUnEHbB3rbANnEZ_K0w2iqQsUJyFSHPhI8n9sjlW2hsbRhnCIVkMWdv_xhrPGkTx9DOYXTdcsSPHL7OfaYYm8qAmrqBsSJCAT590uL4qcIBmWcjnlDP__UIM1LEhsU_RDXysR2Q4xYtIy6Nj592O-ZKqqdQWCuOMIZjBwgKPtJD8jUugCiZefvRLVJeh2Z9Sq48q8LpTQQloV1lbQeRNd81zEK1ImaYSra5DNbMQ8t4ETU427Kb2vwiWMVRPkYBVuhxs2Vf0fTEtBRhhxnWdfmB8Yuc1Yv1G&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
93,database_sppg.94,94,94,16.2.,SPPG Kec. Astana Anyar,Felisia Septiarini,Astana Anyar,Jalan Karasak Utara IV No 14 Kelurahan Karasak,SDN 200 LEUWIPANJANG,"Jl. Muarasari No.49, Kel. Kebon lega, kec. Bojogloa kidul",884,08.00 & 13.00,,24 Februari 2025,-6.946768776,107.6045912,,POINT (107.6045912 -6.946768776),10,20244980,SDN 200 LEUWIPANJANG,Jl. Muarasari Raya No. 49,Kebon Lega,NEGERI,26004,SD,Bojong Loa Kidul,"Jl. Muarasari Raya No. 49, Kel. Kebon Lega, Kec. Bojong Loa Kidul, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9425304,107.5999254","Jl. Muarasari, Kb. Lega, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40235, Indonesia",-6.9425304,107.5999254,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfX9AG59Sr7nbSCIH5-02QBkksDSO0kDZ2H150rhP7pqZXUC6ntjPLsECXjya5bELh1S3xyYSdmqExEK_S88g4bsHf4_zjujajsbPdsQEOkLJHoDEDTl0dbUvdpgftPhfFCQsKhdrAxLfhdcQkLWHKwUrPGQPNs2uKZqZIP9-U7aAYXUFJHvfz66EVDpzFua7KpO64hliweewjbNlVQlmuFmQejiYKdfOawWDyCJMez7UZBDVDSyPwJhmAg-NOuOmePpHeLWwfR3bx3hpsog3zxMKJUKyMCYu3OcMI5xlZ5xXRy4BVvmNRJsxng6GQWPFcPyUsKRzNIpe7_-IpmOCAK8RWF5TBB1sEEsMw092FJshv9G4JC1p3RRHgACWEeoKAZX2U5wncofMEp64r9lNrWDGdybpHi3mg7A0RH_Kl3wZU7zSa5M5cqMlMTPGbP3AB1h4RM1Gu4UmFJNOVt_48LdVug7EJyDH8xQAPVp00-MGU3yqIeoRUbp5iYcM-P3q8wOndzClFCzPzHcylZ8DBphN2tiytdDztPB8_YCK9RLDflDgkNEpRhfB7Rj_iQMXJvBuA&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
94,database_sppg.95,95,95,16.3.,SPPG Kec. Astana Anyar,Felisia Septiarini,Astana Anyar,Jalan Karasak Utara IV No 14 Kelurahan Karasak,SDN 008 MOHAMAD TOHA,"Jl. Moh. Toha No.22, Kel. Pungkur, kec regol",679,09.30 & 13.00,,24 Februari 2025,-6.946768776,107.6045912,,POINT (107.6045912 -6.946768776),10,20245238,SDN 008 MOHAMAD TOHA,Jl. Mohamad Toha No. 22,Pungkur,NEGERI,26006,SD,Regol,"Jl. Mohamad Toha No. 22, Kel. Pungkur, Kec. Regol, Kota Bandung, Jawa Barat, Indonesia",id,"-6.929871599999999,107.6064579","Jl. Moch. Toha No.22, Pungkur, Kec. Regol, Kota Bandung, Jawa Barat 40252, Indonesia",-6.9298716,107.6064579,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfUy-p_3Jymoi9SeaAdmNC2VHG1jEaVVLrYfOFx1HELiwPY15TLt_KFkRpCYCNx0LDcvaK8ukzuKyNM7148_g8jY-ucr24BAeSaLcVBL7UOYsVOOcu8ElqHY-isSOnAOMvrmCoLow01y0XwNqShqOiQ6IeNlEBFLWcpn_Y8q5DPPdOWS8OzAaRgBReDmw1lolBvRuerwq0Y3M0jD28Hk_aPdqV9gSGtgpoU-EXVFV5wk2y4_i6_ho2alehuGDwTQOCAS9vNpRuhc1p13g6ovLolIJugITmI77vYWoRdefJbsnwz4fk57ar9vBhChQ7c68p9ojIMCdEGnQ6M6I-H9T0I1wHFMqfnAvm3ubIpXHW_glJ0eJXGE27nmxEBv5z0K7BIXMN1BOZjhf8E06_USWJuTrpqeRjZ0uqtj75E4hGCIX8zKIe5W4WUSFk7C3jKeD2xLgg9O7OsIrYxN58cx-8ky2vxalUx-0J_eguCOb0VB15idg0T-cuu6a0N1X61pRTKdrC9WRb3obon9UER-A3D_CWff7MvpRaHq69JoEVd8pD24ZflGnMki4-TrkYCZb0wVA5Xr&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
95,database_sppg.96,96,96,16.4.,SPPG Kec. Astana Anyar,Felisia Septiarini,Astana Anyar,Jalan Karasak Utara IV No 14 Kelurahan Karasak,SDN 211 BABAKAN PRIANGAN,"Jl. Sriwijaya No.117, Kel. Cisereuh, kec. Regol",315,9.45,,24 Februari 2025,-6.946768776,107.6045912,,POINT (107.6045912 -6.946768776),21,20245110,SDN 211 BABAKAN PRIANGAN,Jl. Sriwijaya,Ciseureuh,NEGERI,26006,SD,Regol,"Jl. Sriwijaya, Kel. Ciseureuh, Kec. Regol, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9472153,107.6124877","Jl. Sriwijaya, Ciseureuh, Kec. Regol, Kota Bandung, Jawa Barat, Indonesia",-6.9472153,107.6124877,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfVdyljG6_ZY3ZrUcNPRgLeGUB40mdBB2VmIdAq5TA2foomOfX7bXprQJLCygKoHnlbiS4y4AQ_KdBs7F815PA98SPyb553v_44xISrkTJr2Py4OxRavAm4z8XO9Tc9RxfOBbvu9XBgksi1fRBVS_Wi_TdhyDu8ggCUydLt4aYnPKPrhAeyI_y7fTna7lLIFHptGiNhgEPjpkikIq0jhorb3Qsbfd7jyLgsvUyCyZyKXlqJRAj2VdBSZ8tdIHkYpInGSbc94wgBV_iHmee969se5AoSMcm5dop2PgdUq6EqsNCNoGJkHMaVpjeKsLENFEfOCrWqEr81kQ_e4t1LoT7mpCptOt-wgvGOqZKKGCBiSmv2S4eB0RXgA6R9YlipIm1DU4WbomQGvqbAHfTYS0fA-sKmV0Xvf-4LImJrxQczHnc73_ojiBltignbb0ckP7JkaRcyUSePWSwfpP1ftDHkI7jgnklyMGh9izkm5SHC1j43p1Z4HjfP2hL9DKti9BCI7h_wBMVtBvnmBMv2pWhD-CfAKa-PoqyJkVQdy43aZOJqqybSA0Kovlb6x5FtC_WnPHg&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
96,database_sppg.97,97,97,16.5.,SPPG Kec. Astana Anyar,Felisia Septiarini,Astana Anyar,Jalan Karasak Utara IV No 14 Kelurahan Karasak,SMPN 10 BANDUNG,"Jl. Raden Dewi Sartika No. 115 , kel. Pungkur, kec. Regol",790,11.3,,24 Februari 2025,-6.946768776,107.6045912,,POINT (107.6045912 -6.946768776),,,SMPN 10 BANDUNG,,,,,,,,,,,-6.9292592,107.6057192,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfVu90iY8DZ6Hn0GVKmniHYpPdwd45lhSEqzqk1Y0KoH7w60xZEOUvJ0G8pRgwRYz9IYbKUPAVJzf55smmdTBlZgQBlm99_7EMfuRgNb5VKUQxcgRUzuETAHdRGTXafd0Fj2IZQPOpjJcD8mxhD9ulFZTvZ8DUpp9bAmSoa7BHS2XAorjULGKoKfYdu0qnZ1XIAJBO5X-liOPEVmAuITudTrc4vPqVRrS2CE0hQnwbnn-qjnbTxb4VKYzJa6dDrKxsyrUVrwOL46HKwgWSX_Q02pWqwfRu3NTDlO3QW_HPf_Ehdt5U25pCYqXAjfAY4QMej3p4Wc6izKFcbp_p1aDd6G7H1JyWfI_bC8lrrTbXPljNkmfdKrP-Q3fncq_8DYFXtxTFzUudQn0Hir8WYle-T-UpNX6rjj0nuNktJst7GPrkmHflkejLLrRlSnk22Csxz9F0CM88AXq06lbRRUIo8_bAOQlWxnOey9HaAzY8T6kTCLRf1SsI7xB9a5eVTB9ObhEfrHdgl6JU0duf5GrwZ3Si8Tj7leClo3MbvfdJ7BHyLThIloXIWyo_hbfZXtj3jLZWw7&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
97,database_sppg.98,98,98,17.1.,SPPG Kec. Coblong 02,Gunawan Wicaksono,Coblong,Jalan Dipatiukur No.93A,SDN 053 CISITU,"Jl. Sangkuriang No.87, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135",807,7.3,,24 Februari 2025,-6.886863467,107.6148638,,POINT (107.6148638 -6.886863467),13,20245537,SDN 053 CISITU,Jl. Sangkuriang No. 87,Dago,NEGERI,26023,SD,Coblong,"Jl. Sangkuriang No. 87, Kel. Dago, Kec. Coblong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.881829199999999,107.6092323","Jl. Sangkuriang No.87, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia",-6.8818292,107.6092323,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXWLQjFc8qxO9ZskAA5RyQSTKXp88Sl5dHjPAo3Bsir9zoIjWcyPvFsc-ZirQgMH8jfWCy5slUqjozlTyDvlzra747byhsNnnNQEVJuiEv133WW4wEl4cMFessTxSEIJtF7eHcH4sLVYuuriHzwSv1vuOmZMIS3i2HNYqCls2S5exn-1bJR83uvALcfRd7jRtkYjNu21N4MjZV83q_xVmnNJ6ZED89mGxCiCvhu55vLxdCXIIclXlo52EPkvaIN-tx4N59GqA3-RHs-_pR6zC8ySn80HIbjDOIuaO3I_eK3-IdJZBR425QU4aLHXoVkBHPcKRfPI0lwLVJsxIFQGE9ihDN4irTjbNM7uHNcFKmJk9yI7MrLcHuxAx2KtljUR_oZf5xcJWYh145VgViTFrj0mkQq2h403OSWTUje7P838dmF5MSrlVd26FWpPyCSMviTNBukesTW4JdVlydtXtKs7AOcTvVPdpuA_8jkvmL8F-llWLGZVFZ19RBSV5aSqlBa_2jiGuTdm_zNYoh_l-MApakkdCpO2inMhWX5z8eIoL4LQ0g5m9RJ85nZwd6riJcO4Q&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
98,database_sppg.99,99,99,17.2.,SPPG Kec. Coblong 03,Gunawan Wicaksono,Coblong,Jalan Dipatiukur No.93A,SDN 189 NEGLASARI,"Jl. Sadang Serang, Kelurahan Sekeloa, Kec. Coblong",401,7.3,,24 Februari 2025,-6.886863467,107.6148638,,POINT (107.6148638 -6.886863467),21,20245718,SDN 189 NEGLASARI,Jl. Raya Sadang Serang,Sekeloa,NEGERI,26023,SD,Coblong,"Jl. Raya Sadang Serang, Kel. Sekeloa, Kec. Coblong, Kota Bandung, Jawa Barat, Indonesia",id,"-6.8889799,107.6258127","Jl. Sadang Serang, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat, Indonesia",-6.8889799,107.6258127,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXCpEBDHThYoRdznmdYe-861jRtiZozxqzou5YL1omJYpD4tqxCDvnlAOw1iL-asZiQwwken6Pf6JH9Q227o6qTzepAm73wgJaTM23spV8D0WJRdVJZ1BF8GpFS-M-oEHozzftF3tXFuhlnFP56dhMvu2xO2IJ5oV7r1HB73A3j7ig6_DoeyiKpI34A5RAjQdKygdUWDvj5km_SXcx9SGEE8MPh8uOE1kLYjxw_XvRviXcDcSJxjxfDI-O7cY2ZFqV84-IVczSL3poHqUEwKsalWhenAHRNGDPmGACV_mhsHtod7ifus_HVLY6bxYOc88aPOsdfTnRWRA303-Dw9aMfxGq-jYT-a8wd40oHQHDnCR9m-nSUGAeTttIE6VOvWf6w6OSZrBUdbiSfpYVWj3GujVxgR75chtshho8RPkqbXljKp83l6tmgfrCE4yfSoYiiM0ycI1zVwLR3cSajg9E32Ra5Sl05p_EZn4DHyHYybuSNSrk8pa5gEqyQgP0SUvmP2yQ7fJzXfT1nyaJoRy7VVQ48b4EdhlGwfHqJ_2h7xngyN-7jdg9CaJkroVKMae0rJGUm&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
99,database_sppg.100,100,100,17.3.,SPPG Kec. Coblong 04,Gunawan Wicaksono,Coblong,Jalan Dipatiukur No.93A,SMPN 35 KOTA BANDUNG,Jl. Dago Pojok No.12 Bandung,1042,10,,24 Februari 2025,-6.886863467,107.6148638,,POINT (107.6148638 -6.886863467),,,SMPN 35 KOTA BANDUNG,,,,,,,,,,,-6.8661781,107.62137,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfVuPTmM19jGVor3RnUT7tK4FywsYhmDIxVSZEBXc4flH0y0HlfjiT7lFIajx7Ne4Wd5Txfi7FMUf3_UVJXmqblKjTC5FkgWijI_CZ0xIqCnezPeiON4oqj0obJCCVCoKXAzQJwBZtxEQrMnHH7dqoRykFj9akznRUzwGyyZS1lKC6ilTFAe6xoDcpgPvcmAwAmS1JXNxRoduBnmZc_x6VFck-LwKaaNCNsEGW5SRL7-jA83_WvfpLvOPi7yLd-7eohmyuOFlljfFAxPC2Key-5Pc3OaXI9gWWJOAlTKeV2r-4hXAN3u_0WlRsNmJNvGXM6qZ8_TL7ekMlTvn1VBEygtjLRhigY3nebVAWkkcc1ISY1-Hk6tDOc81zITxIR5BEhjGV1erZdyb5LlZEuaoTpYBrVL9z0mvsweVPNGYhMqzPHpsxLb8Sr0tqNjmpV-Mc58LpvPjYp0w-oEeeoGg7UF5WkKsjcLgAYfs8F6Lp1pBQYzfXqCmbEYHN0C5uWzwvXw5EbMXRPicd1ysskDkf-ZA-Z9zXDv0Nj_2hsDkbShpk9K7kHTEKfBwDuRrmQM5maUILILAvRywA&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
100,database_sppg.101,101,101,17.4.,SPPG Kec. Coblong 05,Gunawan Wicaksono,Coblong,Jalan Dipatiukur No.93A,SMAN 19 KOTA BANDUNG,Jl. Ir. H. Juanda Jl. Dago Pojok No. 38,986,10,,24 Februari 2025,-6.886863467,107.6148638,,POINT (107.6148638 -6.886863467),,,SMAN 19 KOTA BANDUNG,,,,,,,,,,,-6.8737165,107.6162923,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXMdz2fzTxEnigM-up4q2xI14axDAN9prbzTP4xg-pfC649Y8M-q8-Q_O6UOO_wt6oyCAJaVOHXRi-n39C-91dJXTZ26-tb62RviS0lIRhF09-swsQLK7Z8LVoYOi6RDW03cbdXTVF03BZbx_VkluapzVVXnZEu9Xyo3918WQ3JeIEvbZwDEu_9tox6UUZfKv8piPdHkr3YirZvIwxHfdrtINnHuVhBKOmyjQEcTcxIKINAvrR9H8gTc3OUB3tjWGWI3tyoZzHXZ3xgDGFlKT-6yP02oTvGPzP1fB-V8MGd5umWstdKWRZdEXkIyQeIMa5kzFqjFNq3KgU7lvGjcaEww3-Bj8Wccr1Bud3MrPucInlhkl4ykqMU6tPKI4SVQoUHJxwrc7d5llmLqbsl4xPoqDNhsOL8cFXlDER1ARxYt9lF1qBMRzzIUUrC71n0qlSZi-N0CLl6N3XcaOT8q3-bAyqVNN-hyTkpJ-u1Qv0N8YewemQFPGMIPmMF1BVgk-7DmRjKa2qfF_lQwSUD0Pj1uFLKGrgkVYOvCKd-LcXiokTw-h7OR00FaA-9hFOKFuIk5JBw&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
101,database_sppg.102,102,102,18.1.,SPPG Kec. Andir 02,Trisna Tansia Putri Sudirgahayu,Andir,"Jl. Jend. Sudirman No.624, RT 04 RW 04, Kelurahan Dungus Cariang, Kecamatan Andir, Kota Bandung, Jawa Barat 40183",TK PRASISTHA,"Gg. R.I. Winata No.15, Dungus Cariang, Kec. Andir",24,9,,24 Februari 2025,-6.91764621,107.579532,,POINT (107.579532 -6.91764621),,,TK PRASISTHA,,,,,,,,,,,-6.9233869,107.6712775,
102,database_sppg.103,103,103,18.2.,SPPG Kec. Andir 03,Trisna Tansia Putri Sudirgahayu,Andir,"Jl. Jend. Sudirman No.624, RT 04 RW 04, Kelurahan Dungus Cariang, Kecamatan Andir, Kota Bandung, Jawa Barat 40184",SD PRASISTHA,"Gg. R.I. Winata No.15, Dungus Cariang, Kec. Andir",103,9,,24 Februari 2025,-6.91764621,107.579532,,POINT (107.579532 -6.91764621),14,20219833,SD PRASISTHA,Jalan R.I. Winata No. 320/79,Dungus Cariang,SWASTA,26018,SD,Andir,"Jalan R.I. Winata No. 320/79, Kel. Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9166135,107.5833402","Jl. RI Winata, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40183, Indonesia",-6.9166135,107.5833402,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=ATCDNfXL-lv9cYnHtqVnxB8D1wg3P04kwsZHT--WrINSYevaf08GCxD75-mzl8wBRtgsQrgMScfEyzqARW9DijLCxsw6lVBizaFdIpgpS3Bb1xHc63FV8bJxlE-oq9duhJNCh9C3yMe33nw0BCuMhDU6qP-5dDVE5GHfF0Iucnq0H7NF9xvBogNJRB26_beThKV5CrwDsqYRSZONHpqYExn32T_9gx6yTzG9fetGtw_MzsdNjcQzHJMbnvjX8sxkCz_0sef5eyK7wcX07amrzxFo-fEswBV8gZGffN9efv25z09wuOE7cNzWrKuFYZu6OCZs0-AjAkNjNpk7eXhQOC4UQnNWz2pHBuuboGOKAc1kSPNp-Nx1Ti6i4BB3VEQZEtJ6mXr8FCS7fdWH-l85UyQCYydcocOT8LiTnZ091WLPkPweLtJ-fL7DLecArPryxX1_PuE6js8Dpm8Bg55daKAfiC8AgMKl-c7Xb0m9EJfiKIn-05jNQDkNpPF_nOLNB3_GVjd_eBw3O9zCkfAhUtVO0B-j7OxlaTo6TrxZHfaCtXXHlL_6Z9LN4I2Xba8c_ceucKN6xa8GdyMVLLiDNPnR6bo9mTSk0g&key=AIzaSyAw8Kpai3_deTamKUFuTZCo5eeHaCcC6ys
103,database_sppg.104,104,104,18.3.,SPPG Kec. Andir 04,Trisna Tansia Putri Sudirgahayu,Andir,"Jl. Jend. Sudirman No.624, RT 04 RW 04, Kelurahan Dungus Cariang, Kecamatan Andir, Kota Bandung, Jawa Barat 40185",TK LPPN,"Jl. Rajawali Timur No. 76 Rt 01 Rw 07 Kel. Ciroyom, Kec. Andir",35,9.3,,24 Februari 2025,-6.91764621,107.579532,,POINT (107.579532 -6.91764621),7,20254847,TK LPPN,Jl. Rajawali Timur No. 76,Ciroyom,SWASTA,26018,TK,Andir,"Jl. Rajawali Timur No. 76, Kel. Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9156789,107.5855926","Jl. Rajawali Timur No.76, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40182, Indonesia",-6.9156789,107.5855926,
